Composite Element REF,Gene_Symbol,Chromosome,Genomic_Coordinate
cg01602430,WDR36,5,110427919
cg01603095,SLC2A13,12,40500139
cg01605517,AHCTF1,1,247081873
cg01605783,LOC284837,21,45232587
cg01605984,SNORD24;SNORD36B;MED22;RPL7A;SNORD36A,9,136216154
cg01606998,PANX2,22,50608598
cg01610488,TRPA1,8,72987870
cg01611640,ZBED5,11,10879105
cg01612158,FCRL4,1,157567720
cg01614759,C10orf25;ZNF22,10,45495435
cg01615080,ACYP2,2,54342584
cg01615704,MALL,2,110873396
cg01617750,CMTM8,3,32279261
cg01618083,CRY2,11,45868993
cg01618304,C11orf54;TAF1D,11,93474888
cg01618660,TRIM14,9,100882376
cg01618851,CD209,19,7812265
cg01620308,PRNP,20,4666848
cg01620569,AK2,1,33502810
cg01620785,SLC5A6;C2orf28,2,27436111
cg01623187,GTSF1L,20,42356139
cg01623438,CTSZ,20,57582894
cg01625242,GRP,18,56886915
cg01626197,GMPPB,3,49761040
cg01626227,TRIM4,7,99517289
cg01628253,HAX1,1,154244960
cg01630869,CDC42EP2,11,65082120
cg01632517,SSX8,X,52652796
cg01632825,CLTCL1,22,19278672
cg01634119,GMPS,3,155588010
cg01635061,COL11A2,6,33160234
cg01636591,CCL8,17,32646156
cg01637734,CD5L,1,157811303
cg01638025,DOCK5,8,25041768
cg01638735,CDK6,7,92462981
cg01639256,ASPRV1,2,70189903
cg01643284,APPL2,12,105629755
cg01643580,KCNK3,2,26916399
cg01643624,C11orf16,11,8954893
cg01644850,ZNF551,19,58193231
cg01646665,TMEM79;SMG5,1,156251436
cg01651364,CCDC82;JRKL,11,96122651
cg01651593,CDC20,1,43824241
cg01651821,MRPL30;MITD1,2,99797358
cg01653110,VAMP4,1,171711841
cg01653445,BAI2,1,32230235
cg01654582,AADAT,4,171011577
cg01655123,PHLDB3,19,44008476
cg01655341,BCKDHA;EXOSC5,19,41903697
cg01655355,SLC5A5,19,17982748
cg01656216,ZNF438,10,31273710
cg01656470,PEG3;ZIM2,19,57350096
cg01656750,KATNB1,16,57771195
cg01656853,FUT2,19,49199172
cg01656955,NT5C1A,1,40137966
cg01657207,ZNF35,3,44690019
cg01657380,NPFF,12,53901523
cg01657408,RNF145,5,158634989
cg01657694,KLHL22,22,20849950
cg01658815,ABLIM1,10,116444040
cg01662650,YY2;MBTPS2,X,21874323
cg01663295,PACS1,11,65837194
cg01663469,C3orf15,3,119421667
cg01663570,DVL3,3,183873429
cg01663968,CTSZ,20,57582006
cg01664666,PLD5,1,242687465
cg01665633,NDNL2;FAM189A1,15,29562142
cg01667384,FLT3LG,19,49977266
cg01667702,TRAPPC1;CNTROB,17,7836604
cg01668383,CSNK1A1L,13,37679573
cg01669948,KCNK16,6,39290877
cg01671575,PGBD5,1,230513566
cg01671881,C20orf71,20,31804901
cg01675895,AFM,4,74346670
cg01677098,TCEA1,8,54935025
cg01677177,ZBTB26,9,125693677
cg01678091,MAGEL2,15,23890686
cg01678321,SLC36A3,5,150683530
cg01678893,CALR,19,13049949
cg01679262,IPO5,13,98606196
cg01680823,TCAP,17,37822045
cg01683883,CMTM2,16,66613053
cg01684579,NOP16,5,175816834
cg01684901,FAM131A,3,184058405
cg01685739,SLC4A2,7,150756773
cg01687051,LUC7L,16,278852
cg01687711,CBARA1,10,74386160
cg01692572,PUF60,8,144910787
cg01692815,AP3B1,5,77591420
cg01693108,SRPK1,6,35888298
cg01693157,TUBA4B;TUBA4A,2,220118273
cg01693350,WT1,11,32452187
cg01697732,FAM20A,17,66597500
cg01697865,IL10RA,11,117856007
cg01699584,KCTD8,4,44450999
cg01703884,MYO1H,12,109878174
cg01704534,RBM47,4,40518024
cg01705458,CCDC34,11,27384997
cg01705587,SV2A,1,149889364
cg01708236,NFKBIE,6,44233446
cg01708964,MYL7,7,44181791
cg01712016,HDAC11,3,13521531
cg01713938,IFNA13,9,21368292
cg01714932,PZP,12,9360854
cg01716083,NCRNA00171;ZNRD1,6,30029143
cg01717150,KCNK9,8,140716495
cg01717706,SOCS1,16,11349308
cg01718139,VSTM1,19,54566838
cg01718365,KDM1A,1,23345643
cg01718602,DACH2,X,85403899
cg01720228,SMTNL2,17,4486934
cg01720520,LILRB1,19,55127892
cg01722450,C18orf20,18,61816636
cg01722994,GRIN2A,16,10277317
cg01723464,MRFAP1,4,6642120
cg01723747,HN1L,16,1727942
cg01724150,NMNAT3,3,139397363
cg01725199,GALNT12,9,101569990
cg01726767,LALBA,12,48965123
cg01726775,LOC283314;C1RL,12,7261710
cg01727899,SPATA17;GPATCH2,1,217805875
cg01729862,EME2;MRPS34,16,1824041
cg01731341,FGF6,12,4554295
cg01731685,IL17RA,22,17565455
cg01732037,TBX19,1,168250218
cg01733599,LIPC,15,58723851
cg01733783,HSPA5,9,128003852
cg01734338,KCNQ1,11,2491231
cg01737507,PPIC,5,122372093
cg01737532,FRG1,4,190862170
cg01738359,RB1,13,48878639
cg01738944,SLC35E2,1,1677273
cg01739167,CHRNE,17,4806344
cg01739965,VPS54,2,64246297
cg01743370,GCA,2,163200975
cg01745448,SCAMP3,1,155232379
cg01745510,CDKN1B,12,12870119
cg01745657,PLCXD2,3,111393169
cg01746088,SFRS7,2,38978194
cg01747191,C6orf182,6,109449950
cg01747665,IGFALS,16,1843424
cg01753375,DCTN1,2,74607600
cg01753595,COL5A1,9,137533141
cg01755369,ILF3;LOC147727,19,10764728
cg01756060,CDK6,7,92463390
cg01757745,C10orf93,10,134755601
cg01758870,C7orf46,7,23719630
cg01761409,RAB38,11,87908192
cg01762581,DKK4,8,42234614
cg01765461,TNFRSF11A,18,59992984
cg01765473,ATAD1;CFLP1,10,89578168
cg01765641,TBC1D5,3,17781888
cg01767116,FBXL22,15,63889093
cg01769037,JARID2,6,15246613
cg01770232,IL6,7,22766155
cg01770400,SERPINC1,1,173886485
cg01772980,SCGB1D1,11,61957695
cg01773061,LSM10,1,36863007
cg01773854,IGFBP6,12,53491219
cg01774645,ARHGAP30,1,161040044
cg01775265,BASE,20,31780882
cg01775414,PHF21B,22,45405404
cg01776246,COIL,17,55038508
cg01776396,FANCB;MOSPD2,X,14892638
cg01777397,CLIP4,2,29337946
cg01780107,DSCC1,8,120867626
cg01780482,EPAS1,2,46524612
cg01782320,YME1L1;MASTL,10,27443404
cg01782486,ZBTB7B,1,154986512
cg01782487,CCDC23;ERMAP,1,43283185
cg01783386,RFT1,3,53164389
cg01784199,DNAJB4,1,78470506
cg01785060,ZDHHC21,9,14693082
cg01785339,CNIH4,1,224544456
cg01785568,MSX1,4,4864833
cg01787047,LOC100130987;RAD9A,11,67159079
cg01788438,HNRNPR,1,23670892
cg01789267,SLC28A2,15,45545111
cg01791232,KREMEN1,22,29469490
cg01794265,FAM105A,5,14582549
cg01794711,CNDP2,18,72163198
cg01795122,EMP3,19,48828859
cg01795697,CCDC45;DDX5,17,62503001
cg01796223,CPA4,7,129933014
cg01796228,LIFR,5,38596220
cg01797043,RPL3L,16,2004686
cg01797527,BMP2,20,6749480
cg01798443,RPSA,3,39447891
cg01798589,STAC,3,36421572
cg01800843,ATM;NPAT,11,108092707
cg01801174,UFC1,1,161123761
cg01802635,MUTED,6,8064800
cg01802653,HERC3,4,89513149
cg01803059,SMAD1,4,146402404
cg01803238,BCL2,18,60986026
cg01803810,CASKIN2;TSEN54,17,73512319
cg01804429,YTHDC1,4,69216077
cg01804844,TSHZ1,18,72996319
cg01805282,EYA4,6,133563764
cg01805540,CACNB2,10,18429749
cg01805784,PRR7,5,176873808
cg01806808,PTK2,8,142011144
cg01806928,SYT9,11,7272804
cg01808090,NUBP1,16,10837891
cg01808130,SLC35B3,6,8435206
cg01808508,PSMD6,3,64009536
cg01808706,ITPKA,15,41786623
cg01809579,HNRNPK;RMI1,9,86595452
cg01813334,EIF3B,7,2394150
cg01813965,CCDC135,16,57729104
cg01816336,MINPP1,10,89265204
cg01817029,LOC283392;TRHDE,12,72665510
cg01817393,GNAS,20,57427642
cg01818492,ENPP1,6,132129363
cg01819572,,3,57204530
cg01819863,EPC1,10,32635814
cg01820374,LAG3,12,6882083
cg01820777,MICALL2,7,1499734
cg01824804,LOX,5,121413478
cg01827098,GIMAP7,7,150211152
cg01830294,WNT2,7,116963492
cg01833398,TARBP2;MAP3K12,12,53894760
cg01835489,KRT8,12,53299310
cg01836044,PCDH20,13,61989203
cg01837574,TRAPPC1;CNTROB,17,7836610
cg01837719,FUT9,6,96463185
cg01838317,GCH1,14,55369861
cg01839464,DCC,18,49868477
cg01840268,BTN3A1,6,26402776
cg01843018,C5,9,123813144
cg01846065,STAM2,2,153032369
cg01848594,CENPN;C16orf61,16,81041324
cg01849789,ZC3H7B,22,41697279
cg01851208,C10orf58,10,82168043
cg01851385,CLCN4,X,10125135
cg01851399,PKP2,12,33050217
cg01852131,MRPS18B;PPP1R10,6,30585154
cg01852328,DAGLB,7,6487989
cg01853981,KRT71,12,52946482
cg01856970,IL15,4,142557562
cg01856985,ZNF384,12,6798404
cg01857260,C19orf41,19,50666552
cg01858173,EML3;ROM1,11,62380679
cg01860753,RASSF5,1,206730586
cg01861509,SPOCK2,10,73849626
cg01862366,TMEM20,10,95654158
cg01866162,CTCF,16,67596514
cg01866521,EHD1,11,64646436
cg01868128,LCE5A,1,152483675
cg01868559,STRAP,12,16034962
cg01868782,HEY2,6,126071099
cg01869233,LRRN4,20,6035139
cg01870826,LOC389458,7,5111875
cg01871963,LCN2,9,130910995
cg01871995,FGL1,8,17754363
cg01872771,BEND2,X,18238981
cg01873645,FAM108B1;C9orf85,9,74526649
cg01875775,HSCB;CHEK2,22,29138271
cg01876612,ZDHHC7,16,85045424
cg01879488,CD44,11,35160498
cg01880404,XRCC1,19,44079527
cg01880569,CDH13,16,82660328
cg01881255,SERTAD3,19,40950703
cg01882150,MACROD1,11,63933998
cg01882179,SOCS2,12,93964653
cg01883521,HIPK1,1,114471974
cg01883966,STK19;DOM3Z,6,31938886
cg01885202,CDKL5,X,18443457
cg01885635,ZNF621,3,40566085
cg01887353,ZNF41,X,47342480
cg01888166,PUM2,2,20527635
cg01888411,ABTB2,11,34378293
cg01888566,MEST,7,130126513
cg01888601,AGBL2,11,47736182
cg01889448,HLA-DQB1,6,32635871
cg01892528,TTLL1,22,43485485
cg01892689,PGCP,8,97657072
cg01892727,CRBN,3,3221728
cg01894895,ANXA1,9,75766294
cg01897036,SCTR,2,120282327
cg01899253,FLT1,13,29070056
cg01900048,SFT2D3,2,128458732
cg01900364,CNN1,19,11649194
cg01902747,CCDC7,10,32734661
cg01906055,NCAPH,2,97000811
cg01907837,RNF8,6,37321337
cg01909245,LSP1,11,1873757
cg01909378,ZNF645,X,22291430
cg01909487,JUN,1,59249911
cg01909833,BRD2,6,32937267
cg01909921,GFI1B,9,135854246
cg01910452,BCAP31;ABCD1,X,152989424
cg01910481,PLUNC,20,31824068
cg01911082,CSMD3,8,114449272
cg01914242,ATP2A3,17,3868068
cg01917648,SPIC,12,101871337
cg01918706,UBE2T,1,202310841
cg01918888,RLF,1,40627050
cg01919208,LAMB2,3,49170496
cg01919488,ZNF638,2,71558589
cg01920232,RFX4,12,106976668
cg01920829,CDK5R2,2,219824761
cg01924619,B4GALT5,20,48330560
cg01924993,H2AFX,11,118966382
cg01926595,PFN1,17,4851808
cg01928902,ZFP36L1,14,69259640
cg01929065,CD63,12,56122634
cg01929105,NMNAT1;LZIC,1,10003572
cg01930621,ZNF649,19,52408350
cg01931893,TK2,16,66584178
cg01932215,AMMECR1L,2,128643031
cg01932459,CD164,6,109703513
cg01934790,FBXL16,16,756400
cg01934797,GLIS2,16,4381661
cg01936124,ETF1,5,137878512
cg01936270,CYP1B1,2,38303680
cg01936555,SLC17A2,6,25931205
cg01938354,KLHL28;FAM179B,14,45431411
cg01939428,UBE3C,7,156931170
cg01939443,RGSL1,1,182456796
cg01939479,MTMR15,15,31195982
cg01939597,ETV6,12,11803199
cg01939681,GABRB2,5,160975024
cg01940867,TMEM8A;LOC100134368,16,431543
cg01941619,MEP1B,18,29770081
cg01942127,CACNA1D,3,53529259
cg01943185,NMU,4,56502116
cg01944444,TUBB,6,30688681
cg01945391,RPL37,5,40835298
cg01946401,SUPT3H;RUNX2,6,45296101
cg01946574,PTPRM,18,7568186
cg01947224,ZNF416,19,58089885
cg01951308,KIF3B,20,30865502
cg01952458,ATP6V1B2,8,20054547
cg01954353,RILPL2,12,123920983
cg01956781,FAM120B,6,170615920
cg01957330,SKAP2,7,26904470
cg01958189,DEFB125,20,68396
cg01958916,SEMA6C,1,151119525
cg01959004,HYOU1,11,118928411
cg01959848,TMX2;MED19,11,57480394
cg01961936,NXF3,X,102349348
cg01962086,TNK2,3,195637027
cg01962826,GRM4,6,34100967
cg01962969,CBR1,21,37442104
cg01963696,ELANE,19,851650
cg01965939,SH3TC2,5,148442694
cg01966105,C16orf79,16,2261237
cg01966465,RUNDC3B;ABCB1,7,87257416
cg01968178,REEP1,2,86565038
cg01968530,C18orf45,18,21017974
cg01968793,CNNM1,10,101088930
cg01969748,GPSM2,1,109420034
cg01970325,NELF,9,140354241
cg01971122,CALCA,11,14993929
cg01979004,C16orf42;GNPTG,16,1401195
cg01980222,TREM2,6,41130917
cg01982455,RPS14,5,149829250
cg01982597,ERCC6;PGBD3,10,50733420
cg01982833,MED21,12,27174596
cg01985090,RANBP1;TRMT2A,22,20104996
cg01985396,DAAM2,6,39760833
cg01985852,CTU2;RNF166,16,88772985
cg01986577,ARNTL2,12,27485373
cg01988129,ADHFE1,8,67344936
cg01989224,NDN,15,23932758
cg01990225,LMAN2L,2,97406019
cg01990304,OPA3,19,46088010
cg01990334,FOXJ3,1,42801334
cg01991150,CHRM4,11,46407677
cg01991383,FOXRED1;SRPR,11,126139007
cg01992081,MMD,17,53498958
cg01993411,PCIF1,20,44562842
cg01993576,SLC29A1,6,44187674
cg01994328,MAP3K8,10,30723347
cg01994513,BLM,15,91260603
cg01994779,ZNRF1,16,75033384
cg01995513,MPP6,7,24612568
cg01997953,CXorf21,X,30595690
cg01998146,PSIP1,9,15511358
cg01998682,ZBTB2,6,151712546
cg01998785,LPCAT2,16,55542709
cg01999333,CASP14,19,15162623
cg01999523,CLASP2,3,33759896
cg01999787,EXOSC8;ALG5,13,37573656
cg02001410,MAP1B,5,71403045
cg02004156,TFE3,X,48900769
cg02005336,MIR611;C11orf10;FEN1,11,61560123
cg02005375,DDX18,2,118572176
cg02005755,SLC13A4,7,135412849
cg02007463,ITGA7,12,56101543
cg02007844,KCNJ8,12,21927990
cg02008154,TBX20,7,35293537
cg02008169,ZNF267,16,31885058
cg02008416,TMEM61,1,55445880
cg02008544,TNFRSF10B,8,22926600
cg02009694,FAM102A,9,130713760
cg02010852,CRB2,9,126118355
cg02014107,DLX2,2,172967979
cg02016419,TEKT3,17,15245237
cg02017041,SCN1B,19,35521054
cg02017109,WDR41,5,76788595
cg02017155,FFAR3,19,35849393
cg02018101,SYNE2,14,64320521
cg02019333,UPK1B,3,118892215
cg02020018,PRRG3,X,150866110
cg02021817,RBL2,16,53468150
cg02022375,KRTAP1-1,17,39197721
cg02025407,CRLS1,20,5986831
cg02026235,RHBDL1,16,725862
cg02027010,ALAD,9,116163386
cg02028524,ATXN3,14,92573410
cg02029926,CXCL1,4,74734874
cg02032115,IGSF8,1,160069052
cg02032561,ZNF449;ZNF75D,X,134478461
cg02033116,GPATCH1,19,33571857
cg02034222,DQX1,2,74753281
cg02037013,MC4R,18,58039530
cg02039171,CEBPE,14,23588162
cg02040734,C10orf95,10,104210981
cg02043070,ADSSL1,14,105190158
cg02043083,PCMT1,6,150070997
cg02044161,IL20RB,3,136675705
cg02044879,PLA2G12B,10,74714935
cg02045085,MPP5,14,67708311
cg02046017,SHANK2,11,70707406
cg02046340,RNF114,20,48552742
cg02046532,DEFB129,20,207858
cg02047577,UCKL1AS;UCKL1,20,62587702
cg02049180,NTRK1;INSRR,1,156828202
cg02053171,WBSCR16,7,74489585
cg02055483,NPAS4,11,66188019
cg02055963,CDX2,13,28543520
cg02056135,SP110,2,231084523
cg02057157,CNO,4,6717681
cg02058918,GABBR2,9,101470884
cg02059813,HLTF,3,148805294
cg02060618,BMP15,X,50653733
cg02060698,FOXO3,6,108881455
cg02060988,LASP1,17,37025978
cg02061229,MMP10,11,102651208
cg02062650,HCFC1R1;THOC6,16,3074537
cg02064106,C6orf118,6,165722858
cg02064402,SLC6A18,5,1225719
cg02065387,GABRA1,5,161274307
cg02065795,KIAA0101,15,64673455
cg02066681,COL18A1,21,46823800
cg02068676,COBRA1,9,140149483
cg02071074,ATP7B;ALG11,13,52585283
cg02071305,VPS18,15,41185973
cg02071439,C9orf163;SEC16A,9,139377021
cg02075593,GSTA3,6,52773711
cg02077702,ISLR,15,74465888
cg02077793,CARM1,19,10983098
cg02078356,TMEM39B,1,32538907
cg02082342,VSIG2,11,124622373
cg02082571,CLEC4A,12,8276718
cg02084087,TNFRSF25,1,6526049
cg02085507,TRIP10,19,6739192
cg02089348,TMEM129;TACC3,4,1724449
cg02091100,GUCA1A,6,42123029
cg02092466,NTSR2,2,11810631
cg02094237,HIST4H4,12,14924136
cg02096520,FGF16,X,76709500
cg02096633,UNC13B,9,35162499
cg02096656,C7orf55,7,139025181
cg02097420,HRG,3,186383874
cg02097636,PAFAH1B3;PRR19,19,42806344
cg02099418,CD28,2,204571146
cg02100629,AIFM2,10,71892760
cg02100828,PSME4,2,54198338
cg02100848,C3orf32,3,8693859
cg02101486,DLX5,7,96652245
cg02102644,SYNRG,17,35969361
cg02103294,SDCBP,8,59465971
cg02104644,SYT7,11,61347820
cg02105034,SMG7,1,183441865
cg02105377,MAGI1,3,66024554
cg02105856,PIGR,1,207119784
cg02110963,C6orf218,6,10434975
cg02111587,TACR1,2,75426512
cg02113971,METT11D1,14,21457816
cg02114786,PTTG1IP,21,46293672
cg02115041,NPBWR1,8,53852101
cg02117021,OR2H1,6,29425960
cg02119229,BCO2,11,112046248
cg02119982,NOD2,16,50731412
cg02121427,LRRC15,3,194091192
cg02121943,TBX3,12,115121489
cg02123547,PIM1,6,37137464
cg02124291,OR7A5,19,14939260
cg02125271,SNRPN;SNURF,15,25200406
cg02126424,CTRL,16,67965099
cg02126638,HAUS2;LRRC57,15,42840787
cg02126753,AEBP1,7,44143998
cg02128567,KCNK5,6,39196998
cg02130905,STMN4,8,27116213
cg02131399,LRP1,12,57521155
cg02131853,TMEM156,4,39034637
cg02131967,ACE,17,61554106
cg02131995,HAMP,19,35772917
cg02132188,HMGN5,X,80377408
cg02136132,KCNK13,14,90527891
cg02141570,LOC348840,3,197808633
cg02141675,GALNT10,5,153569408
cg02142461,ZNF509;LYAR,4,4293079
cg02144298,CEBPA;LOC80054,19,33792681
cg02144933,AOX1,2,201450690
cg02147791,SAP18,13,21714429
cg02148711,ATRX,X,77041559
cg02149446,C5AR1,19,47812519
cg02150709,PPIH,1,43123922
cg02150910,GZMH,14,25079357
cg02151301,HM13,20,30101785
cg02153528,OBFC2B,12,56618648
cg02153871,HARS2;HARS,5,140070879
cg02154074,HTRA2;AUP1,2,74756234
cg02154186,PNMA2,8,26371353
cg02154956,PCCA,13,100741410
cg02157083,APOA5,11,116662800
cg02157306,ELMOD2,4,141445059
cg02159896,MPPE1,18,11908181
cg02160826,MRPS16,10,75012589
cg02161046,HIAT1,1,100503743
cg02161900,MKX,10,28035631
cg02162069,ZIM2;PEG3;MIMT1,19,57352134
cg02162412,HMGCR,5,74632926
cg02162950,DIS3;PIBF1,13,73355953
cg02163937,FAM53B,10,126432368
cg02164046,SST,3,187388148
cg02164386,HIGD1B,17,42925536
cg02164442,ITGAD,16,31405101
cg02165720,NDUFB11;RBM10,X,47004051
cg02166313,PAPOLA,14,96968050
cg02166532,INS-IGF2;IGF2,11,2159853
cg02168291,CDH13,16,82671520
cg02169098,PPPDE2;XRCC6,22,42017294
cg02169446,MYO9A;SENP8,15,72410194
cg02170525,CD8A,2,87018382
cg02171008,RPL27A,11,8703884
cg02171545,SNRPN,15,25093366
cg02173484,GJA5,1,147245168
cg02175035,RAB40B,17,80656466
cg02175308,SORT1,1,109941060
cg02178774,LOC729991;RFXANK;LOC729991-MEF2B,19,19302803
cg02178898,MTRF1,13,41837525
cg02181494,ARSA,22,51066755
cg02181506,SERPINA1,14,94856984
cg02182354,NEUROG2,4,113437522
cg02184413,VNN1,6,133035235
cg02186298,DPF2,11,65101602
cg02186948,COMMD9,11,36310854
cg02186966,BET1,7,93633904
cg02187357,TBC1D22B;TMEM217,6,37224216
cg02189785,CLIC3,9,139891008
cg02192520,RDH5,12,56114155
cg02192855,HIST1H2BI,6,26273199
cg02192965,SLC3A1,2,44502740
cg02194211,FAM3D,3,58652346
cg02196655,NOL10,2,10830764
cg02196730,MTHFS,15,80188777
cg02196805,CSF2,5,131409637
cg02197293,FBXO27,19,39523158
cg02198044,NEDD4,15,56286336
cg02198582,TSC2,16,2099376
cg02200132,EIF4A2;SNORD2,3,186501254
cg02200584,PDGFC,4,157892546
cg02201963,PSMG2;CEP76,18,12702795
cg02202484,SPRR4,1,152942688
cg02204046,MYCN;MYCNOS,2,16080760
cg02205739,PRRX2,9,132427570
cg02205962,BCAP31;ABCD1,X,152989807
cg02206259,C1orf198,1,231003485
cg02207610,PPP1R12C,19,55628570
cg02210123,RHOJ,14,63670835
cg02210887,GUCY1A3,4,156586680
cg02212280,MMP1,11,102670192
cg02212737,EXOC7,17,74099749
cg02212836,LY86;LOC285780,6,6589075
cg02213716,UBAC2,13,99853497
cg02214188,BDH2,4,104020949
cg02215538,ANKHD1;ANKHD1-EIF4EBP3,5,139782041
cg02216250,OCLN,5,68788173
cg02217159,KHDRBS2,6,62996697
cg02217814,FAM125A,19,17530319
cg02218214,DOCK7;ANGPTL3,1,63062489
cg02218260,GRM2,3,51742878
cg02218324,RSPH6A,19,46318439
cg02222362,PTPN20B;PTPN20A,10,48828109
cg02224164,MARS,12,57883315
cg02224920,SDF4;B3GALT6,1,1166824
cg02225847,FAM65A,16,67563418
cg02226697,SQLE,8,126010266
cg02226871,VPS28,8,145653662
cg02226939,BLMH,17,28619481
cg02227605,ROPN1L,5,10441490
cg02228185,ASPA,17,3379567
cg02229516,TRMT1,19,13227228
cg02229946,IL1F7,2,113669912
cg02232922,SLC25A43,X,118532809
cg02233558,SLC12A2;FLJ33630,5,127418922
cg02233559,SLC46A3,13,29293325
cg02235880,FANCF,11,22647123
cg02237119,WBSCR27,7,73256414
cg02237186,RRM2,2,10263043
cg02238504,ZNF423,16,49861375
cg02238747,RRP12,10,99161279
cg02238826,MCF2L2;B3GNT5,3,182971069
cg02239021,CYB5RL;MRPL37,1,54665433
cg02239082,CYTH2,19,48972844
cg02240226,STK16;GLB1L,2,220110027
cg02240622,PLCB2,15,40601467
cg02241586,PIKFYVE,2,209131508
cg02244695,TMEM176B;TMEM176A,7,150497346
cg02245378,PAX3;CCDC140,2,223161771
cg02245418,POLR3C;RNF115,1,145609675
cg02246665,HCFC2,12,104458006
cg02246968,UBAC2,13,99852859
cg02247582,ZNF512,2,27806117
cg02248486,HOXA5,7,27183196
cg02250594,ONECUT2,18,55103353
cg02250787,HTR2A,13,47470989
cg02250992,SCARB1,12,125348168
cg02251134,DOCK2,5,169063563
cg02252907,AP3D1,19,2151887
cg02252918,ZNF664;CCDC92,12,124458442
cg02254407,PLEKHB1,11,73357159
cg02254461,CSRNP1,3,39195904
cg02254649,ENAH,1,225840109
cg02255004,GDEP,4,80748660
cg02255609,TTC4,1,55181269
cg02255732,,11,31150189
cg02257405,ACSL6,5,131346985
cg02257681,DDAH2,6,31698002
cg02259997,FGF9,13,22245013
cg02260587,PCDHB2,5,140474248
cg02261346,MPPED1,22,43898597
cg02264284,HPRT1,X,133594951
cg02265318,MOSC1,1,220960539
cg02266731,CPM,12,69357333
cg02268424,ZNF136,19,12274129
cg02269221,TRAF4,17,27071208
cg02271621,HCCA2;LOC338651;DUSP8,11,1592675
cg02273078,USP14,18,158567
cg02273392,SERPINE1,7,100770414
cg02273788,PLXNB3,X,153029150
cg02275294,SOAT1,1,179262462
cg02275359,ZNF146,19,36719719
cg02275830,PTGR2,14,74318774
cg02275989,SMPDL3A,6,123110863
cg02276665,CTNNA1,5,138088442
cg02276686,PSMC1,14,90722856
cg02276793,LOC100128164;SEC62,3,169685131
cg02277509,KIAA0586;TIMM9,14,58893942
cg02278071,DUSP18,22,31063986
cg02278165,COX7A2L,2,42588618
cg02279071,MLH1;EPM2AIP1,3,37034154
cg02280309,PKLR,1,155270960
cg02282237,PRKCH,14,61788862
cg02283643,SULF1,8,70378740
cg02284889,PPME1;C2CD3,11,73882276
cg02285477,POLR1D;LNX2,13,28196059
cg02286642,ZNF254,19,24270073
cg02286990,CCDC28B,1,32666098
cg02288165,SIGLEC1,20,3687992
cg02290509,TBL2,7,72992915
cg02292024,TIMM10,11,57298349
cg02293044,GAS2L1,22,29703543
cg02296128,GTF2F2,13,45694882
cg02298570,ZNF555,19,2840764
cg02298612,CHST6,16,75528459
cg02299279,UBL7,15,74753787
cg02300906,FANCF,11,22647486
cg02301754,VPS72;TMOD4,1,151149370
cg02301815,KIAA1267,17,44249491
cg02303361,AP2S1,19,47354240
cg02304930,SERTAD4;C1orf133,1,210405566
cg02305261,KCNG1,20,49638967
cg02305723,SNRPN,15,25093456
cg02307482,C12orf60;WBP11,12,14956006
cg02309273,INPP5B,1,38412744
cg02309431,BPIL3,20,31618931
cg02309594,HCRTR1,1,32084329
cg02310296,MMP9,20,44637358
cg02311163,SEMG2,20,43850511
cg02312170,WDR11,10,122610835
cg02312751,TSSC4,11,2422528
cg02314308,GLT25D2,1,184006972
cg02316718,UBC,12,125399409
cg02317742,ATOH8,2,85981021
cg02317907,DIRAS3,1,68515788
cg02318426,NFKBIA,14,35873683
cg02318535,PPM1E,17,56832804
cg02320454,GPR150,5,94956017
cg02321871,RCBTB1,13,50159138
cg02322621,ZBTB9,6,33422403
cg02322989,LRP1B,2,142888598
cg02323334,NCRNA00167;PRDM10,11,129872621
cg02324920,NEURL,10,105253152
cg02326006,ARHGEF9,X,62974433
cg02326931,ALG5,13,37572901
cg02327719,C1orf135,1,26185386
cg02329886,HDC,15,50557917
cg02330106,MGMT,10,131264840
cg02331561,ABCA17P;ABCA3,16,2391081
cg02332073,TSGA13,7,130372419
cg02332492,C8G,9,139840678
cg02332525,GRM7,3,6903153
cg02332537,RTP3,3,46540019
cg02334775,ISG20,15,89182676
cg02335441,NEK11;ASTE1,3,130745948
cg02335804,HNF1B,17,36105239
cg02336128,DCK,4,71859030
cg02337166,NR1D1,17,38257303
cg02342494,C12orf72,12,31812046
cg02344078,STK4,20,43595235
cg02344201,ELL,19,18632488
cg02344238,FRMD8,11,65153777
cg02345317,NLGN3,X,70364543
cg02347487,NLRP14,11,7059103
cg02351381,MGC14436;C12orf34,12,110172346
cg02352653,SMAD5;SMAD5OS,5,135469115
cg02357714,DOK3,5,176936563
cg02357725,IMP3,15,75932598
cg02358761,STK17B,2,197036780
cg02358804,ZNF146,19,36719212
cg02360616,FAM129A,1,184943055
cg02360776,ZBTB3,11,62521582
cg02360836,SMARCD2,17,61920188
cg02361363,ST3GAL3,1,44173578
cg02361557,NTNG1,1,107682963
cg02364038,PTBP1,19,797109
cg02364642,GEFT,12,58005758
cg02366059,C18orf45,18,21017616
cg02367472,SLU7,5,159845898
cg02372712,ZNF467,7,149470295
cg02374486,PRF1,10,72362809
cg02376163,FBXO38,5,147763224
cg02376703,EPHA1,7,143106130
cg02377083,CCBP2,3,42851019
cg02381948,MGMT,10,131355112
cg02382666,CALD1,7,134463454
cg02385474,PCNXL2,1,233394797
cg02385791,ZNF570,19,37960542
cg02387613,TOPBP1,3,133380479
cg02387679,IQGAP2,5,75699865
